1,1,36.0,0
1,1,77.0,0
2,2,131.0,0
1,1,150.0,0
2,2,153.0,0
3,3,169.0,0
1,1,217.0,0
4,4,218.0,0
4,4,242.0,0
5,5,295.0,0
1,1,300.0,0
1,1,376.0,0
2,2,380.0,0
6,6,384.0,0
7,0,384.0,0
3,3,387.0,0
8,7,395.0,0
1,1,402.0,0
2,2,402.0,0
2,2,432.0,0
9,8,454.0,0
1,1,465.0,0
6,6,563.0,0
4,4,578.0,0
1,1,623.0,0
3,3,646.0,0
2,2,674.0,0
1,1,692.0,0
2,2,715.0,0
10,9,729.0,0
11,10,742.0,0
3,3,742.0,0
3,3,809.0,0
12,11,854.0,0
1,1,854.0,0
4,4,872.0,0
13,12,904.0,0
14,13,939.0,0
12,11,959.0,0
1,1,989.0,0
14,13,1026.0,0
14,13,1072.0,0
15,14,1142.0,0
12,11,1151.0,0
16,15,1153.0,0
17,16,1177.0,0
4,4,1199.0,0
4,4,1214.0,0
3,3,1226.0,0
18,17,1255.0,0
11,10,1301.0,0
19,18,1307.0,0
20,19,1308.0,0
21,20,1314.0,0
22,21,1340.0,0
3,3,1401.0,0
17,22,1451.0,0
11,10,1496.0,0
4,4,1508.0,0
23,23,1529.0,0
4,4,1531.0,0
24,24,1543.0,0
12,11,1555.0,0
25,25,1600.0,0
3,3,1607.0,0
4,4,1630.0,0
2,2,1643.0,0
26,26,1651.0,0
4,4,1664.0,0
4,4,1677.0,0
27,27,1682.0,0
11,10,1706.0,0
12,11,1713.0,0
28,28,1724.0,0
18,17,1729.0,0
29,29,1771.0,0
11,10,1789.0,0
2,2,1797.0,0
8,7,1805.0,0
4,4,1814.0,0
4,4,1827.0,0
30,30,1908.0,0
31,31,1914.0,0
28,28,1925.0,0
28,28,1996.0,0
16,22,2022.0,0
32,32,2053.0,1
4,4,2063.0,0
3,3,2075.0,0
33,33,2079.0,0
8,7,2098.0,0
4,4,2127.0,0
16,22,2131.0,0
24,24,2233.0,0
4,4,2285.0,0
3,3,2290.0,0
1,1,2313.0,0
3,3,2333.0,0
34,34,2343.0,0
16,22,2367.0,0
35,35,2377.0,0
3,3,2377.0,0
36,36,2382.0,0
3,3,2412.0,0
4,4,2438.0,0
16,22,2471.0,0
3,3,2494.0,0
27,27,2509.0,0
